id,data_count_new,cluster_belong_new,data_count_sum
1,3,0,3
2,2,0,5
3,1,0,6
4,2,0,8
5,3,0,11
6,2,0,13
7,1,0,14
8,5,0,19
9,1,0,20
10,1,0,21
11,2,0,23
12,1,0,24
13,1,0,25
14,1,0,26
15,1,0,27
16,1,0,28
17,1,0,29
18,1,0,30
19,3,0,33
20,2,0,35
21,1,0,36
22,2,0,38
23,1,0,39
24,1,0,40
25,1,0,41
26,1,0,42
27,1,0,43
28,1,0,44
29,2,0,46
30,3,0,49
31,1,0,50
32,1,0,51
33,1,0,52
34,1,0,53
35,1,0,54
36,1,0,55
37,1,0,56
38,10,0,66
39,4,0,70
40,1,0,71
41,1,0,72
42,4,0,76
43,1,0,77
44,2,0,79
45,2,0,81
46,11,0,92
47,1,0,93
48,6,0,99
49,2,0,101
50,1,0,102
51,1,0,103
52,2,0,105
53,2,0,107
54,2,0,109
55,1,0,110
56,3,0,113
57,3,0,116
58,1,0,117
59,2,0,119
60,2,0,121
61,1,0,122
62,2,0,124
63,1,0,125
64,1,0,126
65,1,0,127
66,2,0,129
67,1,0,130
68,1,0,131
69,2,0,133
70,1,0,134
71,1,0,135
72,2,0,137
73,1,0,138
74,1,0,139
75,1,0,140
76,1,0,141
77,1,0,142
78,1,0,143
79,1,0,144
80,1,0,145
81,1,0,146
82,1,0,147
83,1,0,148
84,1,0,149
85,1,0,150
86,1,0,151
87,2,0,153
88,2,0,155
89,1,0,156
90,1,0,157
91,4,0,161
92,1,0,162
93,1,0,163
94,2,0,165
95,2,0,167
96,1,0,168
97,4,0,172
98,1,0,173
99,2,0,175
100,1,0,176
101,1,0,177
102,1,0,178
103,1,0,179
104,2,0,181
105,1,0,182
106,2,0,184
107,1,0,185
108,1,0,186
109,3,0,189
110,1,0,190
111,3,0,193
112,1,0,194
113,1,0,195
114,1,0,196
115,2,0,198
116,2,0,200
117,2,0,202
118,1,0,203
119,1,0,204
120,1,0,205
121,3,0,208
122,1,0,209
123,3,0,212
124,1,0,213
125,1,0,214
126,1,0,215
127,1,0,216
128,1,0,217
129,1,0,218
130,2,0,220
131,1,0,221
132,1,0,222
133,1,0,223
134,1,0,224
135,3,0,227
136,1,0,228
137,3,0,231
138,2,0,233
139,2,0,235
140,1,0,236
141,2,0,238
142,1,0,239
143,2,0,241
144,1,0,242
145,1,0,243
146,3,0,246
147,1,0,247
148,1,0,248
149,1,0,249
150,1,0,250
151,1,0,251
152,1,0,252
153,1,0,253
154,1,0,254
155,1,0,255
156,1,0,256
157,1,0,257
158,1,0,258
159,1,0,259
160,1,0,260
161,1,0,261
162,1,0,262
163,4,0,266
164,1,0,267
165,2,0,269
166,1,0,270
167,2,0,272
168,1,0,273
169,1,0,274
170,1,0,275
171,2,0,277
172,1,0,278
173,1,0,279
174,1,0,280
175,1,0,281
176,1,0,282
177,1,0,283
178,1,0,284
179,1,0,285
180,1,0,286
181,1,0,287
182,2,0,289
183,1,0,290
184,1,0,291
185,1,0,292
186,1,0,293
187,1,0,294
188,2,0,296
189,1,0,297
190,1,0,298
191,1,0,299
192,1,0,300
193,2,0,302
194,1,0,303
195,3,0,306
196,2,0,308
197,1,0,309
198,1,0,310
199,1,0,311
200,1,0,312
