id,center_pos,weight,draw_input0,arr_final
0,6716228,10,7233,0
1,6716640,10,7234,1
2,6716809,10,7234,1
3,6716986,10,7234,1
4,6717043,10,7234,1
5,6717081,10,7234,1
6,6717120,10,7234,1
7,6717153,10,7234,1
8,6717192,10,7234,1
9,6717219,10,7234,1
10,6717262,10,7234,1
11,6717299,10,7234,1
12,6717432,10,7234,1
13,6717509,10,7234,1
14,6717547,10,7234,1
15,6717586,10,7234,1
16,6717620,10,7234,1
17,6717673,10,7234,1
18,6717795,10,7234,1
19,6717871,10,7234,1
20,6718052,10,7234,1
21,6718178,10,7234,1
22,6718541,10,7235,2
23,6718579,10,7235,2
24,6718736,10,7235,2
25,6719278,10,7236,3
26,6719480,10,7236,3
27,6720421,10,7237,4
28,6720570,10,7237,4
29,6720675,10,7237,4
30,6722221,10,7238,5
31,6722276,10,7238,5
32,6722349,10,7238,5
33,6722451,10,7238,5
34,6722814,10,7239,6
35,6722860,10,7239,6
36,6722911,10,7239,6
37,6723030,10,7239,6
38,6723069,10,7239,6
39,6723154,10,7239,6
40,6723190,10,7239,6
41,6723227,10,7239,6
42,6723515,10,7240,7
